GridID,NextDownID,Length
479878,480048,2.014
480094,480048,1.024
480242,480050,0.6
480258,480050,1.59
480342,480051,0.383
480343,480051,0.2
479848,480061,1.383
479995,480061,0.924
479916,480062,0.941
480047,480062,0.141
479919,480063,0.983
479969,480063,1.249
480153,480073,2.673
480201,480073,1.066
480062,480076,0.141
480075,480076,0.241
479899,480077,1.224
479954,480077,1.066
480078,480077,1.324
479900,480078,1.566
480109,480078,1.083
479924,480079,1.266
480080,480079,0.741
480016,480091,0.541
480074,480091,1.007
480036,480096,0.583
480095,480096,1.749
480045,480106,0.666
480125,480106,0.483
480006,480109,1.19
480142,480109,0.583
480143,480109,1.024
479859,480110,2.638
480079,480110,0.241
479850,480121,2.763
480105,480121,0.141
480044,480122,1.649
480091,480122,0.241
480124,480125,0.141
480137,480125,0.783
480096,480128,0.283
480127,480128,0.583
480128,480129,0.383
480162,480129,0.1
479917,480138,1.607
480093,480138,1.283
480019,480141,1.349
480166,480141,1.007
480222,480142,0.1
480244,480142,1.249
480121,480153,1.631
480270,480153,1.149
480126,480154,0.283
480155,480154,1.207
480303,480155,0.141
480304,480155,0.1
480108,480156,1.124
480182,480156,0.924
480156,480157,0.6
480183,480157,1.166
479753,480159,2.807
479939,480159,2.056
480004,480160,1.083
480161,480160,0.1
479837,480163,2.249
480129,480163,1.166
479763,480165,2.749
480164,480165,0.1
480275,480166,0.4
480293,480166,0.441
480346,480167,0.683
480365,480167,0.441
479980,480180,2.314
480061,480180,0.824
480140,480184,0.524
480221,480184,0.483
480329,480201,0.883
480330,480201,0.2
479734,480202,3.88
480256,480202,2.814
480154,480203,0.583
480216,480203,0.483
479997,480204,1.366
480157,480204,1.566
480063,480218,1.024
480139,480218,1.124
480220,480221,1.341
480257,480221,0.141
480107,480238,0.7
480202,480238,1.107
480017,480239,1.766
480203,480239,1.083
480218,480240,0.1
480219,480240,0.741
479896,480241,4.387
480184,480241,1.407
480141,480243,1.407
480165,480243,0.441
480092,480256,0.1
480106,480256,0.2
480318,480258,0.683
480360,480258,0.983
480353,480270,0.241
480388,480270,0.524
480034,480271,1.649
480123,480271,1.19
480076,480272,2.314
480284,480272,0.1
480158,480286,0.907
480285,480286,0.5
480206,480287,0.907
480288,480287,0.541
480289,480288,1.241
480317,480288,0.141
480185,480289,0.724
480290,480289,0.541
480273,480290,0.483
480306,480290,1.066
479858,480291,3.397
480163,480291,1.007
480344,480293,0.483
480345,480293,0.1
479833,480298,2.773
480214,480298,2.307
480215,480300,2.39
480271,480300,0.2
480238,480301,0.624
480302,480301,0.683
480000,480305,2.007
480286,480305,0.841
480160,480306,1.29
480335,480306,0.1
480104,480314,1.907
480298,480314,3.356
480305,480315,0.141
480334,480315,0.283
480291,480319,0.2
480308,480319,2.273
480180,480326,0.983
480314,480326,0.141
480255,480327,0.583
480299,480327,0.983
480239,480331,1.249
480332,480331,2.097
480274,480335,3.504
480307,480335,0.883
480110,480336,1.424
480259,480336,1.407
480043,480339,2.314
480181,480339,1.083
480138,480340,1.366
480272,480340,2.207
480473,480350,0.907
480493,480350,3.338
480200,480351,1.349
480350,480351,2.049
480372,480352,1.383
480397,480352,0.141
479965,480353,8.76
480352,480353,0.383
480433,480354,0.983
480456,480354,0.283
480122,480355,1.89
480354,480355,1.207
480205,480359,1.083
480341,480359,0.924
480319,480362,0.424
480361,480362,1.349
480243,480363,1.007
480292,480363,0.724
480364,480363,0.883
480391,480365,0.541
